Alias,source_id,source_id_dr2,SpType_a,Spectral Type,Ref,Source,source_#,Teff,Teff_error,2mass_id,2mass_ra,2mass_decl,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,k_snr,acatalog_identifier_optical_source,blue_mag_opt,visual_or_red_mag_opt,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,phot_variable_flag,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,r_med_geo,r_lo_geo,r_hi_geo,ref_epoch_dr2,ra_dr2,ra_error_dr2,dec_dr2,dec_error_dr2,parallax_dr2,parallax_error_dr2,parallax_over_error_dr2,pmra_dr2,pmra_error_dr2,pmdec_dr2,pmdec_error_dr2,phot_g_mean_mag_dr2,phot_bp_mean_mag_dr2,phot_rp_mean_mag_dr2,bp_rp_dr2,bp_g_dr2,g_rp_dr2,radial_velocity_dr2,radial_velocity_error_dr2,a_g_val_dr2,a_g_percentile_lower_dr2,a_g_percentile_upper_dr2,ruwe_dr2,r_est_dr2,r_lo_dr2,r_hi_dr2,r_len_dr2,A_Ks,A_Ks_sig,A_H,A_J,BCKs,BCKs_sig,DM,DM_sig+,DM_sig-,A_V,A_Ks_u,Ks_0,Ks_0_sig,H_0,J_0,MKs,MKs_sig+,MKs_sig-,Mbol,Mbol_sig+,Mbol_sig-,log(R/R.),R*,log(L/L.),log_Teff,x_kpc,y_kpc,z_kpc,mass_loss,range_mag_bp,range_mag_rp,range_mag_g_fov,pf,pf_error,metallicity,metallicity_error,frequency,frequency_error,amplitude,is_cstar,best_class_name,nss_solution_type,period,period_error,eccentricity,eccentricity_error,center_of_mass_velocity,center_of_mass_velocity_error,flags,mass_ratio,mass_ratio_error,best_class_name_dr2,pf_dr2,pf_error_dr2,metallicity_dr2,metallicity_error_dr2,frequency_dr2,frequency_error_dr2,AAVSO_Type,AAVSO_max_mag,AAVSO_passband_max_mag,AAVSO_min_mag,AAVSO_passband_min_mag,AAVSO_Period,ASASSN-V,ASAS-SN_Vmag,ASAS-SN_Amp,ASAS-SN_Period,ASAS-SN_Type,ASAS-SN_Prob,Variable_details,Variable_Ref,Variable_Ref_#,Variable_Flag,Binary_details,Binary_Ref,Binary_Ref_#,Binary_Flag,B_field,B_field_Ref,B_field_Ref_#,Runaway,Runaway_Ref,Runaway_Ref_#,Cluster/Association Note,Method,Simbad Classification,Region
HD  34258,180418107089011200 ,180418107089011200,M1,M1Ib,Skiff,Skiff,0,3745.0,170.0,J05173101+3149263,79.379238,31.823990000000002,3.589,0.18,2.674,0.174,2.338,0.21600000000000005,1000000.0,T,9.59,7.62,2016.0,79.37926309099538,0.020866597,31.82399545267428,0.013198116000000001,0.5582884796546065,0.028197944,2.0492790000000003,1.6685267934428136,0.027003119,-1.1897741679324991,0.0207582,0.97765976,6.6003995,7.8570065000000024,5.5073742999999995,2.3496322999999997,1.256607,1.0930252,2.7176862,0.37807724,174.26248781645856,-3.4884983724426477,80.8841204404612,8.72018902925876,False,False,0.0,NOT_AVAILABLE,,,,,,,1683.7943,1608.9463,1773.4568,2015.5,79.37926286446724,0.055736690740022264,31.82399559714925,0.0475338256061001,0.44506664355393344,0.07132055121989847,6.2403703,1.60597038551326,0.10124057154206777,-1.2329645154305704,0.071532199842193,6.602974400000001,7.8879747,5.523594,2.3643807999999997,1.2850003,1.0793805,,,,,,0.8168171,2113.9617422890697,1823.01754257404,2508.80369352865,1109.6726880643,0.05107333191169903,0.011686170719164848,0.08493717154880381,0.14600311187800916,2.7319195,0.12901300000000002,11.13144517503593,0.11563149068639285,0.09652626030832437,0.5551449120836851,0.05107333191169903,2.286926668088301,0.21631589536156948,3.442996888121991,2.527996888121991,-8.844518506947631,0.2452818954273528,0.23687525306622445,-6.1125990069476295,0.2771417730935465,0.2697299384276575,2.5476161573185543,352.87115366187487,4.365039602779052,3.5734518220354854,-9.779205579110805,0.17873710316065294,-0.07843311185584881,-5.301826216498816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VAR,7.54,V,  0.025,V,    15.424960000000,J051730.98+314925.3,8.07,0.75,NON PERIODIC,L,0.993,"L, VAR","ASAS-SN, AAVSO","IV, III",Variable,,,,,,,,,,, ,Compilation-based Method,Star,Region B
HD 187238,1827820678254631040 ,1827820678254631040,K3,"K2Iab-Ib, K3 Iab-Ib,  K3 Iab-Ib, K3 Iab-Ib,  K3 Iab-Ib","Skiff, Bidelmann 1957 II, Bidelman 1957 II, Jaschek 1978, Jura and Kleinmann 1990","Skiff, Bidelmann 1957 II, Humphreys 1970, Rayner 2009, Jura and Kleimann 1990","0, 28, 36, 10, 12",3985.83,170.0,J19481183+2245463,297.049302,22.762863,3.625,0.268,2.749,0.204,2.418,0.268,942367.0,T,9.07,7.06,2016.0,297.04932877633166,0.009580365,22.76285198262681,0.013263414,0.91019567949176,0.01761652,5.063687,0.3256790631500208,0.010772506000000001,-5.0532027376167195,0.016737033000000002,0.84756565,6.138344,7.3042336,5.0765233,2.2277102,1.1658897,1.0618205,-2.8584943,0.14218718,59.51924506073218,-1.4180645705369899,304.9687046010852,42.973819638388214,False,False,0.0,NOT_AVAILABLE,,,,,,,1063.8812,1045.6422,1086.1666,2015.5,297.0493287337634,0.026550120729800352,22.762852749623452,0.031104299159798038,0.9278185732004284,0.039894276849330834,23.256935000000002,0.3219195882278277,0.05288318571093159,-4.7203962168063605,0.05989334125357738,6.1447650000000005,7.332092999999999,5.1005054,2.2315874,1.1873278999999999,1.0442595,-2.6127654344161115,0.17918239274494882,,,,0.98872554,1047.45017815064,1005.08525921122,1093.4714719103301,1437.27820894531,0.09559096957844744,0.035146068781614304,0.15897193853807018,0.2732654891209965,2.549153613,0.12901300000000002,10.134465672384355,0.0454864050939462,0.03722735703682621,1.0390322780266026,0.09559096957844744,2.3224090304215532,0.2702947394064523,3.3517345108790035,2.475734510879004,-7.812056641962802,0.2740953469126621,0.2728463345232061,-5.2629030289628025,0.3029399501026112,0.3018103318837003,2.3235430625409768,210.6410750142057,4.025161211585121,3.600518771625792,-7.4429219197994625,0.9465385200933693,-0.003927776344953692,-5.829220309671372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC,7.0,V,  7.100,V,                   ,,,,,,,LC,AAVSO,III,Variable,,,,,,,,,,,VUL OB1,Compilation-based Method,RedSG,Region B
Hen 1-5,1828750899461025408 ,1828750899461025536,K0,G8/K0Iae,Skiff,Skiff,0,4185.0,85.0,J20115606+2020044,302.9836180000001,20.334581,7.216,0.02,6.379,0.055,5.434,0.021,67269.8,T,11,9.21,2016.0,302.98356999877444,0.19154972,20.334524189791047,0.16434768,0.6820583523808158,0.22274940000000001,8.710301,-2.423692314616566,0.2986225,-8.36630581614555,0.44545323,1.8009856,19.336664000000006,19.58774,17.373682000000002,2.214058,0.25107574,1.9629822000000001,,,60.33213004661107,-7.39256860169759,311.1848446580721,39.17546927973404,False,False,0.0,NOT_AVAILABLE,,,,,,,2277.677,1530.5334,3752.9587,2015.5,302.9835702963158,0.15224051378891226,20.334525125419038,0.3569356843138609,0.7630244452497733,0.2302080094345071,3.3145,-2.603597030756102,0.4304643405571769,-6.2138581844495615,1.1620167227050868,17.290464,18.626704999999998,15.546339000000001,3.0803661,1.3362408000000001,1.7441254000000002,,,,,,1.5103482,1396.69984955484,969.685456951691,2404.79699176531,1436.12243055155,0.11887640449438205,0.03101123496890068,0.1976966292134832,0.33983146067415737,2.3980035,0.06450650000000001,11.787460681543296,1.4064915735700199,0.7123054381049869,1.2921348314606744,0.11887640449438205,5.315123595505619,0.03745259262449488,6.8761685393258425,6.039168539325843,-6.472337086037678,1.4069901361480002,0.7132893759535703,-4.074333586037678,1.4084680797803042,0.7162002669578417,2.0434757925489784,110.52888591788357,3.549733434415072,3.621695462329279,-7.280882254429231,1.26336186310446,-0.16589029192105995,-6.461832627131895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,8.7,V, 23.000,V,                   ,,,,,,,FF,AAVSO,III,Variable,,,,,,,,,,, ,Compilation-based Method within error,post-AGB*,Region C
HD 346044,1829812370549177216 ,1829812370549177216,K5,K5Ib:,Skiff,Skiff,0,3869.17,144.5,J20112810+2201354,302.86710899999997,22.026502999999998,5.125,0.037000000000000005,4.663,0.22,4.087,0.036000000000000004,232606.0,T,10.56,8.59,2016.0,302.8670736429948,0.012672116,22.02650642228519,0.012570141000000002,0.2468637465477625,0.019945048,7.5932693,-3.2370633716841173,0.0146664465,-6.868708640677923,0.016156776,0.9951735999999999,7.7304005999999985,8.826141999999997,6.7072059999999984,2.1189365000000002,1.0957417,1.0231948,10.151518,0.15595682,61.708245758986386,-6.388469100559341,311.6723710022707,40.82930274507474,False,False,0.0,NOT_AVAILABLE,,,,,,,3545.9084,3317.406,3807.9712,2015.5,302.86707415133344,0.026739098887329824,22.026507414193954,0.02307498408484835,0.2693225286219943,0.03960115676556347,6.800875,-3.342249410210571,0.05438962902449667,-6.7189818174304135,0.04754312950613483,7.7372007,8.866771,6.729186,2.1375847,1.12957,1.0080147,10.359726807715537,0.2487445280532101,0.708,0.41600000000000004,1.8681,0.9696899,3327.70447938729,2927.41073956136,3847.2435699681896,1375.83832222801,0.05367648000000002,0.0038716077832498547,0.08926632000000002,0.15344472000000006,2.637686887,0.10966105,12.748637562291265,0.16048416246752956,0.13993217002115668,0.5834400000000002,0.05367648000000002,4.03332352,0.03620758686832528,4.97155528,4.50955528,-8.715314042291265,0.16451794962778907,0.1445406570957017,-6.077627155291268,0.19771621490619887,0.18143193611037647,2.512289807521702,325.30430264177465,4.351050862116506,3.5876178117682755,-6.093365836012808,3.544779127620921,-0.4316825794944705,-5.405760129511068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,Compilation-based Method,Star,Region B
HD 190788,1834814392540128128 ,1834814392540128128,M3,"M3- Ib                    , M3- Ib-II                 , M3- Ib-II, M3- Ib-II,  M3- Ib, M3- Ib-II","Skiff, Keenan and McNeil 1989, Jura and Kleinmann 1990, Dorda 2016","Skiff, Keenan and McNeil 1989, Jura and Kleimann 1990, Dorda 2016","0, 26, 12, 4",3605.0,170.0,J20055034+2536031,301.459776,25.600872,3.137,0.256,1.997,0.24,1.628,0.214,1000000.0,T,10.16,7.96,2016.0,301.45974294409194,0.0111403605,25.60086423488832,0.017916238,0.8344925469428852,0.02401373,3.147726,-1.594385540031492,0.015141146000000001,-2.7140586347627687,0.021794386000000002,0.95320976,6.3930097,8.235178999999999,5.0978913,3.1372876,1.8421693,1.2951183000000002,-6.1485959999999995,0.14835489,64.0381262933205,-3.3809536037089316,311.3976205199752,44.623005414469326,False,False,0.0,VARIABLE,2.6547,2.5598,2.8158,1.6903,1.6280000000000001,1.7965,1147.0541,1116.7367,1180.9149,2015.5,301.45974318148996,0.029455954034237064,25.60086464258016,0.044543938399496975,0.8005511695846242,0.059648230580832635,13.4212055,-1.544237715253298,0.07884564902853419,-2.7916098840841546,0.09613759010881603,6.4234247,8.291736,5.1337743,3.1579613999999996,1.8683109,1.2896504,-6.070640207537438,0.15332674580921168,1.6965,1.3202,1.9345,0.9625218000000001,1211.72313414356,1128.12289818979,1308.40858319817,1203.05440328114,0.14345281209098099,0.01535291388655472,0.23856826358608801,0.4100879302166088,2.8381655,0.12901300000000002,10.297919507890787,0.06410141680688643,0.057393454788460724,1.5592696966410982,0.14345281209098099,1.4845471879090189,0.21455002205734672,2.7269120697833915,1.5869120697833914,-8.813372319981768,0.22392119953559145,0.2220939454766002,-5.975206819981768,0.25842805143880604,0.2568464031018598,2.553230825885457,357.46277779473974,4.3100827279927065,3.556905269055448,-7.4764986082567955,1.0755283729543343,-0.047304983120851705,-5.255287651250243,0.26593828,0.23996681,0.18433729,,,,,,,,False,LPV,,,,,,,,,,,,,,,,,,SRC,7.85,V,  8.120,V,    64.000000000000,,,,,,,"LPV, SRC","Gaia DR3, AAVSO","II, III",Variable,,,,,,,,,,,,Compilation-based Method,LongPeriodV*_Candidate,Region B
HD 205349,1971358279140128768 ,1971358279140128768,K1,"K1Ib                      , K4Ib                      , K2Ib                      , K1I, K1 Ib,  K1 Ib,  K4 Ib,  K1 Ib,  K1 I","Skiff, Bidelmann 1957 II, Bidelman 1957 II, Blaha and Humpreys 1989, Jura and Kleinmann 1990, Levesque 2005","Skiff, Bidelmann 1957 II, Humphreys 1970, Garmany and Stencel 1992, Jura and Kleimann 1990, Levesque 2005","0, 28, 36, 35, 12, 15",4100.0,170.0,J21331788+4551142,323.324508,45.853970000000004,3.213,0.27,2.494,0.192,2.193,0.292,975484.0,T,8.1,6.25,2016.0,323.3245040308007,0.020822292,45.853998633416026,0.024588192000000002,1.2215241370083527,0.030521537999999997,4.430871,-2.4176085828101894,0.02791921,-3.7131909550216236,0.024747426,1.0258511000000001,5.563503,6.5177846,4.580178,1.9376068,0.9542818000000001,0.983325,-8.035569,0.17697844,90.83246326854919,-4.306081199763532,350.22458860078893,55.47011064458547,False,False,0.0,NOT_AVAILABLE,,,,,,,801.8158,786.6553299999997,817.4010599999997,2015.5,323.3245045109095,0.05576591898333272,45.853999199668245,0.05720886520223615,1.34115467899088,0.0703792809352081,19.0561,-2.6489618686664542,0.12243826201031073,-3.659364919536872,0.1053905684559468,5.5277195,6.5265374000000005,4.608583,1.9179543999999997,0.9988179,0.9191365,-7.787027109013332,0.1975185951905688,0.8227,0.3519,2.2006,0.9717769,732.440657235527,695.655921698253,773.2534773455251,1107.39777760921,0.07261218525223989,0.03101123496890068,0.12075722112600765,0.2075761382754249,2.46251,0.12901300000000002,9.520373049452825,0.04220790122262122,0.041057487667740235,0.7892628831765206,0.07261218525223989,2.12038781474776,0.2936421235012041,3.005423861724575,2.286423861724576,-7.399985234705062,0.2966600809342486,0.2964985901954392,-4.937475234705063,0.3234989301202014,0.3233508437547102,2.2339273335015406,171.3670550798079,3.8949900938820248,3.612783856719736,-8.012012555685601,0.8162524290834957,-0.03642937535290793,-6.043170019351472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC,6.23,V,  6.300,V,                   ,,,,,,,LC,AAVSO,III,Variable,,,,,,,,,,,CYG OB7,Compilation-based Method within error,RedSG,Region C
IRAS 21536+5321,1981536973676439552 ,1981536969361413632,M1,"M1Ib, M1   Ib","Skiff, Dorda 2018","Skiff, Dorda 2018","0, 5",3745.0,170.0,J21552327+5334572,328.846998,53.582561,6.765,0.034,5.56,0.028999999999999998,5.1,0.016,67053.3,U,14.1,11.1,2016.0,328.8470762178039,0.0425337,53.582556908483156,0.04255666,0.2549938783864098,0.049487215,3.8711870000000004,-2.6545078141721183,0.05522877,-2.817743068299952,0.054304535999999994,1.0483985,10.642964,12.596665,9.337997,3.258668,1.953701,1.3049669,-52.367706,1.2662517,98.56861067407587,-0.7477502522355172,4.313669812851659,59.36981797417989,False,False,0.0,NOT_AVAILABLE,6.6879,6.6859,6.6898,4.7073,4.7061,4.7085,3404.0209999999997,2934.1733,4011.1057,2015.5,328.8470768458845,0.119891213042486,53.58255737134818,0.10490015457301613,0.3701743523447088,0.1396268203085583,2.6511693,-2.759157169946952,0.2428582056755864,-2.780600933657924,0.18445189293546616,10.645603,12.597013,9.333428,3.263585,1.9514102999999998,1.3121748,-52.62390627143606,0.7626947185871159,0.353,0.1589,0.5591,1.3018996999999999,2459.357142676711,1791.6840791146801,3684.20204724299,1141.18638875936,0.3076841258200228,0.03101123496890068,0.5116920788093857,0.8795752727246304,2.7319195,0.12901300000000002,12.659961153296578,0.38726778603582496,0.2997223922016559,3.34439267195677,0.3076841258200228,4.792315874179977,0.03489551109091782,5.885424727275369,4.680424727275369,-7.867645279116602,0.3888367714033562,0.3017469288681819,-5.135725779116601,0.4096808379267767,0.3281700218642459,2.3522415117523483,225.03056559855702,3.974290311646641,3.5734518220354854,-8.584367774456847,3.8775600988814216,-0.02434801938445421,-5.712112972187848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,12.48,V, 12.580,V,   737.000000000000,,,,,,,SR,AAVSO,III,Variable,,,,,,,,,,,Perseus Arm,Compilation-based Method,RedSG,Region B
V* V424 Lac,1985889115564260224 ,1985889115564260224,M0,"K3I                       , K5Ib                      , K5Ib                      , K3Ib                      , M0- Ib                    , K5Ib                      , K5Ib                      , K5I                       , M0I,  K5 Ib, M0- Ib, K5.8 Ib, K5 Ib, K5 Ib, K5 Iab     , K5 Ib,  K5 Ib,  K5 Ib,  M0 I","Skiff, Morgan 1950, Morgan and Keenan 1973, Kleinmann and Hall 1986, Keenan and McNeil 1989, Blum 2003, Keenan & McNeil 1989, Elias 1985, Jura and Kleinmann 1990, Levesque 2005","Skiff, Humphreys 1970, White and Wang 1978, Kleinmann and Hall 1986, Keenan and McNeil 1989, Blum 2003, Rayner 2009, Elias 1985, Jura and Kleimann 1990, Levesque 2005","0, 36, 38, 11, 26, 1, 10, 14, 12, 15",3790.0,110.5,J22562598+4944006,344.108275,49.733517,1.7919999999999998,0.264,0.958,0.15,0.7240000000000001,0.17800000000000002,1000000.0,T,6.79,4.99,2016.0,344.1083221630236,0.07717124,49.733531776857824,0.08948387,1.4018111325391365,0.112911895,2.8432779999999998,-0.6489542289883221,0.10039743,-2.768228369824862,0.106790245,1.2694370000000001,4.216367,5.2546325,3.2163417,2.0382907,1.0382657,1.000025,,,104.58510347662536,-8.997066930506248,12.792283478523295,50.39708474882042,False,False,0.0,NOT_AVAILABLE,,,,,,,698.9185,648.89386,759.01733,2015.5,344.10832228177236,0.14251226858108387,49.733532193571186,0.1425337903748112,1.5761558702371352,0.18576450200498887,8.484699,-0.7087186350021881,0.29789215964449417,-2.317008435160341,0.2939584511674749,4.1326613,5.2634025,3.2445567000000004,2.0188458,1.1307411,0.8881046999999999,-10.371924249842383,0.14664556026321762,0.4645,0.1306,1.2926,0.89716387,633.9516541858329,563.425009284104,724.2007639310028,866.534506171349,0.0226905110232234,0.00398344588631177,0.03773530637557805,0.064865265207693,2.697769,0.08385845,9.222132680846592,0.1867212717780515,0.15542173451694782,0.2466359893828631,0.0226905110232234,0.7013094889767767,0.17804456700817686,1.7271347347923067,0.893134734792307,-8.520823191869813,0.25800135886375125,0.2363382817094721,-5.823054191869818,0.2712875611080328,0.25077484530508304,2.479332418437819,301.5313127339269,4.249221676747927,3.5786392099680717,-8.177735209773225,0.6818806938025014,-0.08600269756171633,-5.456115582806796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC,4.91,V,  5.030,V,                   ,J225625.87+494400.6,5.75,0.49,NON PERIODIC,L,0.955,"L, LC","ASAS-SN, AAVSO","IV, III",Variable,,,,,,,,,,,,Compilation-based Method,RedSG,Region B
*   5 Lac,1986628812013105152 ,1986628812012131712,M0,"M0I                       , K4I                       , M0Ib-II + A               , M0Iab + B                 , K5Ib + A0:                , M0Ib                      , K7Ibe + A8:V              , K9Ia + B2V, M0 Iab +B, M0.3 Iab, K6-M0 I,  M0 Iab + B","Skiff, Humphreys, Strecker, and Ney 1972, Ginestet 1997, Jura and Kleinmann 1990","Skiff, White and Wang 1978, Ginestet 1997, Jura and Kleimann 1990","0, 38, 33, 12",3790.0,110.5,J22293182+4742247,337.3825930000001,47.706879,1.317,0.248,0.412,0.18600000000000005,0.265,0.214,1000000.0,T,6,4.37,2016.0,337.38260044640924,0.096774235,47.70688202349842,0.09986117,1.4838483825810551,0.13834193,5.948264599999999,-2.553841450999542,0.12448282,-5.372126505973205,0.116450086,1.9115495999999998,3.5363602999999997,4.6225142,2.6267416,1.9957726000000002,1.086154,0.9096185999999999,,,99.6633306445867,-8.65083807830496,5.225086526115801,51.408511706340896,False,False,0.0,NOT_AVAILABLE,,,,,,,669.3509,623.6366,738.6641,2015.5,337.38260126317834,0.2153939959020532,47.706882671710616,0.225628197041898,1.8666268695122408,0.2956791442582269,6.313015,-2.616610657920055,0.4056950676719125,-4.8892067103209484,0.3982576937976806,3.4598123999999997,4.66617,2.7002490000000003,1.9659212,1.2063576999999999,0.75956345,,,0.5157,0.1539,1.6348,0.9656218000000001,547.03689456217,463.080566592291,667.4199823279811,932.564449576089,0.037875913943389065,0.015,0.06298929166672311,0.1082757105120796,2.697769,0.08385845,9.128269258355397,0.22486217829136,0.14830388839448644,0.4116947167759681,0.037875913943389065,0.2271240860566109,0.2145250568115529,1.2087242894879204,0.30372428948792035,-8.901145172298786,0.310779663469049,0.26079693884883753,-6.203376172298786,0.3218947636454154,0.2739475916107437,2.555396814523613,359.2500311999324,4.401350468919515,3.5786392099680717,-8.112113256049241,0.6568030838070991,-0.07601575123780137,-5.296380351026628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC,4.23,V,  4.430,V,                   ,,,,,,,LC,AAVSO,III,Variable,"Binary,  Spectral Binary","Ginestet & Carquillat (2002), Skiff, Humphreys, Strecker, and Ney 1972, Ginestet 1997, Jura and Kleinmann 1990","V, 0, 38, 33, 12",Binary,,,,,,,,Compilation-based Method,RedSG,Region B
V* U Lac,2003598056004201600 ,2003598056004201600,M4,"M4Iae + B?                , M3Ia,  M4 Iab +B, M4 Iab +B, M2.5 Ia,  M4 Iab + B,  M4 Iab: e, M4 Iab + B,  M4 Iab + B, M4 Iab","Skiff, Bidelman 1969 and Bidelman 1955, Humphreys 1970, Garmany and Stencel 1992, Sloan et al. 2003, Humphreys 1978, Jura and Kleinmann 1990, Dorda 2016","Skiff, Humphreys 1970, White and Wang 1978, Garmany and Stencel 1992, Verhoelst 2009, Humphreys 1978, Jura and Kleimann 1990, Dorda 2016","0, 36, 38, 35, 16, 13, 12, 4",3535.0,170.0,J22474341+5509303,341.930888,55.158421,3.815,0.22399999999999998,2.672,0.166,1.932,0.206,1000000.0,T,10.78,8.54,2016.0,341.9309185127555,0.023175533999999998,55.158407114446675,0.024026845,0.23571347868600664,0.02859298,4.4975457,-3.4234273457918443,0.031508367999999995,-2.9168580273732188,0.031432487,0.9140106,6.990207700000001,9.155082,5.639336,3.5157456,2.164874,1.3508716,-67.9972,0.33170658,105.82235696725172,-3.549946042474632,16.79133083780056,55.43622064432046,False,False,0.0,VARIABLE,,,,,,,3675.012,3386.8635,4196.221,2015.5,341.9309193332893,0.0624087596764559,55.15840756626825,0.06061625367883707,0.3518963047395327,0.07076897010187923,4.972466000000002,-3.20697951432304,0.12185787736777225,-3.150359197419873,0.12085302481022965,6.9988327,9.161294999999999,5.630794,3.530501,2.1624622000000002,1.3680386999999998,,,,,,0.9116464,2575.03979116167,2161.63221318911,3163.17003362581,999.060016094848,0.1487489053879738,0.0037431425756530756,0.2473758970039129,0.4252278490982295,2.8912884999999995,0.12901300000000002,12.826293807611648,0.30796932447882025,0.17025972094608022,1.6168359281301499,0.1487489053879738,1.783251094612026,0.2060340047573256,3.3897721509017704,2.24677215090177,-11.043042712999618,0.3705335557493849,0.2672795983478327,-8.15175421299962,0.3923512076001328,0.296787361358227,3.0055720063340865,1012.9126765353047,5.180701685199848,3.5483894181329183,-9.155278001364136,4.0738692527485405,-0.2340723629185059,-4.2874878853708065,0.7679866999999999,0.35057765,0.43115273,,,,,0.001022268636365476,0.00157879,0.13953464,False,LPV,,,,,,,,,,,MIRA_SR,,,,,0.001038497738759709,0.005202707437878244,SRC,8.1,V, 10.200,V,   432.000000000000,J224743.39+550929.4,9.35,0.76,NON PERIODIC,L,0.9990000000000001,"LPV, MIRA_SR, L, SRC","Gaia DR3, Gaia DR2, ASAS-SN, AAVSO","II, I, IV, III",Variable,"Binary,  Spectral Binary","Samus' et al. (2017), Skiff, Bidelman 1969 and Bidelman 1955, Humphreys 1970, Garmany and Stencel 1992, Sloan et al. 2003, Humphreys 1978, Jura and Kleinmann 1990, Dorda 2016","V, 0, 36, 38, 35, 16, 13, 12, 4",Binary,,,,,,,CEP OB1,Compilation-based Method,RedSG,Region A
