Star,Radius,Spectral type,
Theoretical limit,"~1,500",,
RSGC1-F06,"1,382",M5,
RW Cephei,"1,337",K2_0-Ia,
V602 Carinae,"1,050",M3Ia-Iab,
V354 Cephei,"1,016",M2.5Iab-M3.5Ib,
IRAS 04498-6842,900,M10,
LMC 54365,900,M2.5I,
NSV 25875,891,OH/IR,
LMC 109106,890,M2.5I,
IRAS 05558-7000,880,M?,
LMC 64048,880,M2.5I,
SMC 30616,880,K2I,
V437 Scuti,874,O-rich,
IRAS 04407-7000,870,M7.5,
IRAS 05329-6708,870,M?,
LGGS J004047.82+410936.4,860,M3I,
LGGS J004428.71+420601.6,860,M0I,
V669 Cassiopeiae,859,M9III,
SMC 15510,850,K5I,
LMC 61753,830,M2I,
LMC 62090,830,M1I,
Mu Cephei,830,M2-Ia,
V1185 Scorpii,830,OH/IR,
CW Leonis,826,"C9,5e",
LMC 116895,814,M0I,
IRAS 05294-7104,810,M8,
LMC 147199,810,M1.5I,
LMC 134383,802,M2.5I,
IRAS 05402-6956,800,M?,
BO Carinae,790,M4Ib,
IRAS 05298-6957,790,M?,
LMC 142907,790,M2I,
LGGS J004255.95+404857.5,785,M2I,
LGGS J004359.94+411330.9,785,M2I,
SMC 11709,781,K5-M0I,
SU Persei,780,M3-M4Iab,
LGGS J003950.98+405422.5,774,M4I,
AV Cephei,770,"C5,4 C",
RS Cephei,770,M4Iab,
V355 Cephei,770,M2Iab,
HD 303250,766,M3Iab,
Betelgeuse,764,M1-M2Ia-Iab,
LGGS J004124.80+411634.7,760,M2I,
S Cephei,760,C6II,
GP Cassiopeiae,751,M2Iab,
SMC 11939,750,K2I,
LMC 137818,740,K2I,
RU Virginis,740,CV6,
SMC 48122,740,K1I,
IRAS 04545-7000,730,M?,
IRAS 05003-6712,730,M9,
SMC 56732,730,K5-M0I,
KK Persei,724,M2Iab-Ib,
V648 Cassiopeiae,710,M2Ia,
XX Persei,710,M4Ib,
SMC 55681,704,K5-M0I,
LMC 65558,700,M1I,
LMC 169754,700,K2I,
V528 Carinae,700,M2Ib:,
Antares A,680,M0.5Iab+B3V:,
V509 Cassiopeiae,677,G4_0,
RSGC1-F14,662,M3/M1,
HR 5171 Ab,650,B0Ibp,
V441 Persei,650,M3Iab,
Rho Cassiopeiae,636,G2_0,
TV Geminorum,623,K5.5-M1.3Iab+B4III:,
BU Persei,620,M4Ib,
CE Tauri,587,M2Iab-Ib,
V915 Scorpii,571,K0Ia-0,
YZ Persei,524,M1Iab:var,
VV Cephei A,515,M2epIa-Iab,
Mira A,512,M7IIIe,
V382 Carinae,485,G0-4-Ia^+,
Eta Carinae A,470,var(LBV)+O(WR?),
V838 Monocerotis,464,M5.5I+B3V,
HD 179821,425,G40-Ia,
IRC+10420,420,F8Ia^+-A2I,
R Leporis,400,"C7,6e",
R Serpentis,380,M5-8e,
T Ceti,312,M5.5e-M8.8e,
La Superba,307,C5_4J(N3),
Pistol Star,306,LBV,
R Doradus,298.0,M8III:e,
Alpha Herculis A,284.0,M5Ib-II,
Epsilon Aurigae A,250.5,F0la,
S Doradus,240.0,B8/9eq-F0/5:Iae,
Wezen,215.0,F8Ia,
Epsilon Pegasi A,211.0,K2Ib-II,
Deneb,203.0,A2Ia,
Var 83,154.0,LBV,
Nu Cephei,137.0,A2Iab,
V337 Carinae,128.0,K2.5II ,
Iota Aurigae,127.0,M5IIIb,
Avior,126.2,K3III,
Zeta Arae,114.0,K5III,
Delta1 Apodis,114.0,M5IIIb,
Mirach ,100.0,M0III,
LBV 1806-20,95.50,O9-B2,
Zeta Cephei,94.00,K1.5Ib,
Beta Arae,93.42,K3Ib-II,
Peony Nebula Star,92.00,Ofpe/WN9,
Gamma Aquilae,91.81,K3II,
Menkar,89.00,M1.5IIIa,
CS Camelopardalis,85.70,B9Ia,
Almach,80.00,K2+IIb,
Rigel A,78.90,B8Ia,
Canopus,73.30,A9II,
Gamma Chamaeleontis,67.00,K5III,
Altarf,61.00,K4IIIBa1,
Beta Camelopardalis,58.00,G1Ib-IIa,
Eta Sagittarii A,57.00,M2III,
Epsilon Antliae,56.30,K3IIIa,
Aludra,54.00,B5Ia,
Alpha Aquarii,52.89,G2Ib,
